Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1661.6931960784318
FDW14,OUT017,1481.8506141732287
NCN55,OUT010,584.7577647727273
FDQ58,OUT017,2222.6712822580653
FDY38,OUT027,6280.890880000003
FDH56,OUT046,1800.19222295082
FDL48,OUT018,713.858654545455
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1559.3429752688164
FDA36,OUT017,2778.989278
FDT44,OUT017,1800.19222295082
FDQ56,OUT045,1481.8506141732287
NCC54,OUT019,584.7577647727273
FDU11,OUT049,2047.6653193798459
DRL59,OUT013,713.858654545455
FDM24,OUT049,2490.5268867052023
FDI57,OUT045,3076.509492810457
DRC12,OUT018,2824.530227586207
NCM42,OUT027,3242.0620715328487
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2851.631695876288
NCJ31,OUT035,3739.280755555553
FDG52,OUT046,798.2176035398228
NCL19,OUT019,281.48208181818165
FDS10,OUT035,3387.2047231707297
FDX22,OUT010,584.7577647727273
NCF19,OUT035,798.2176035398228
NCE06,OUT046,2222.6712822580653
DRC27,OUT046,4155.6477160220975
FDE21,OUT035,1800.19222295082
NCR42,OUT019,92.67548155339807
FDX51,OUT018,2824.530227586207
NCR06,OUT018,507.04640366972524
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2611.4595423423425
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.48208181818165
NCF18,OUT017,3216.79145106383
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.48208181818165
NCY54,OUT017,2851.631695876288
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727273
FDC26,OUT013,1548.686152212389
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3387.2047231707297
FDF41,OUT035,3739.280755555553
FDU34,OUT046,2047.6653193798459
DRH11,OUT046,935.0323883040938
FDM03,OUT013,1548.686152212389
FDS31,OUT017,3387.2047231707297
FDJ20,OUT017,2140.5192583333323
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2778.989278
FDA09,OUT013,2851.631695876288
FDT04,OUT013,507.04640366972524
FDL58,OUT019,584.7577647727273
FDE52,OUT045,1424.5946902777782
FDW12,OUT035,2490.5268867052023
FDL51,OUT017,3717.6324421768704
NCY42,OUT027,3242.0620715328487
FDR07,OUT017,1559.3429752688164
FDN40,OUT045,2490.5268867052023
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2611.4595423423425
NCL06,OUT046,4034.3003068965527
FDI35,OUT013,3387.2047231707297
NCW42,OUT045,3717.6324421768704
NCX06,OUT049,2568.3328336448594
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3739.280755555553
NCG06,OUT045,4034.3003068965527
DRC36,OUT045,2851.631695876288
FDV21,OUT019,281.48208181818165
FDB53,OUT046,2660.9504030303024
DRP47,OUT019,584.7577647727273
FDA14,OUT013,2660.9504030303024
DRC24,OUT035,2660.9504030303024
FDW21,OUT018,1372.6884907407414
NCH29,OUT046,1559.3429752688164
FDU58,OUT013,2824.530227586207
FDY27,OUT017,2851.631695876288
FDV56,OUT035,1784.4287381818178
FDT59,OUT046,4155.6477160220975
FDB23,OUT046,3717.6324421768704
FDR49,OUT045,798.2176035398228
FDB03,OUT010,584.7577647727273
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.6884907407414
NCT29,OUT013,1857.3664076190466
FDZ27,OUT046,798.2176035398228
FDN57,OUT017,2227.6349584158406
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3387.2047231707297
NCU05,OUT013,1243.0689297709923
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1559.3429752688164
FDZ25,OUT017,2894.220710714287
FDG12,OUT046,2282.9788814814815
DRB01,OUT019,482.69954262295073
NCC43,OUT027,6280.890880000003
FDX13,OUT019,584.7577647727273
FDM22,OUT049,796.6402682539683
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.9525829268296
FDB33,OUT010,346.8972837209303
FDP27,OUT046,3216.79145106383
FDO38,OUT010,165.91858165137612
FDE28,OUT027,6280.890880000003
FDO27,OUT035,1559.3429752688164
DRL23,OUT027,2517.882088484848
FDS28,OUT046,935.0323883040938
FDX24,OUT013,1481.8506141732287
FDZ02,OUT035,1559.3429752688164
FDL46,OUT045,1800.19222295082
FDS60,OUT027,5329.314724444444
NCO06,OUT017,583.8145788617884
FDO16,OUT035,1481.8506141732287
FDC60,OUT049,1259.5490513157888
FDA48,OUT018,3327.9525829268296
FDZ36,OUT027,5329.314724444444
FDK27,OUT045,2282.9788814814815
FDW23,OUT018,507.04640366972524
FDM14,OUT018,1372.6884907407414
FDM14,OUT013,1661.6931960784318
FDW60,OUT018,2851.631695876288
FDE21,OUT013,1800.19222295082
NCM42,OUT035,1879.05405
FDY59,OUT010,219.21852093023253
DRI49,OUT049,1259.5490513157888
FDT28,OUT019,346.8972837209303
FDQ22,OUT018,507.04640366972524
FDR60,OUT049,1259.5490513157888
FDC50,OUT019,219.21852093023253
FDV24,OUT013,2490.5268867052023
DRF48,OUT010,482.69954262295073
FDQ47,OUT046,583.8145788617884
DRN36,OUT049,1559.3429752688164
NCY06,OUT035,1857.3664076190466
FDE52,OUT035,1424.5946902777782
NCB54,OUT045,1857.3664076190466
NCF31,OUT035,2490.5268867052023
FDJ08,OUT027,5329.314724444444
NCC07,OUT017,1661.6931960784318
NCD19,OUT027,1378.2631852760744
FDL46,OUT049,1800.19222295082
FDM20,OUT045,4155.6477160220975
NCI06,OUT010,425.93559145299145
DRM11,OUT035,4433.304032653061
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,2047.6653193798459
FDO49,OUT018,713.858654545455
FDS35,OUT049,1103.1862133333332
DRK39,OUT045,1481.8506141732287
DRI39,OUT049,796.6402682539683
FDV04,OUT017,2222.6712822580653
NCN14,OUT035,3387.2047231707297
FDH08,OUT013,4155.6477160220975
FDS20,OUT046,3387.2047231707297
FDV40,OUT049,1103.1862133333332
FDZ48,OUT010,281.48208181818165
FDS24,OUT027,2517.882088484848
FDK44,OUT049,2568.3328336448594
FDS48,OUT045,2660.9504030303024
FDK26,OUT010,482.69954262295073
FDD23,OUT045,3076.509492810457
NCH54,OUT017,2894.220710714287
NCP14,OUT010,219.21852093023253
FDM60,OUT010,92.67548155339807
FDV24,OUT017,2490.5268867052023
FDH08,OUT018,3327.9525829268296
FDS12,OUT027,3242.0620715328487
FDR39,OUT027,5329.314724444444
FDP12,OUT027,1378.2631852760744
DRF60,OUT027,6280.890880000003
FDC09,OUT035,1784.4287381818178
FDF50,OUT018,3216.79145106383
FDG28,OUT035,4155.6477160220975
NCE19,OUT017,935.0323883040938
NCM53,OUT010,281.48208181818165
NCN18,OUT049,1548.686152212389
FDF32,OUT035,3076.509492810457
FDF11,OUT013,4155.6477160220975
DRI59,OUT049,3717.6324421768704
NCG54,OUT035,2894.220710714287
FDM44,OUT046,1661.6931960784318
FDT57,OUT018,3327.9525829268296
FDV24,OUT046,2490.5268867052023
FDI50,OUT019,584.7577647727273
FDS09,OUT035,713.858654545455
NCC31,OUT027,4117.317712631577
FDQ07,OUT019,584.7577647727273
FDC22,OUT017,3216.79145106383
FDZ56,OUT046,2894.220710714287
FDZ40,OUT019,165.91858165137612
FDS46,OUT027,3242.0620715328487
DRD24,OUT045,2227.6349584158406
FDV45,OUT017,3076.509492810457
FDL26,OUT045,2894.220710714287
FDA56,OUT018,1752.2524400000002
FDN27,OUT046,1800.19222295082
FDM20,OUT049,4155.6477160220975
FDO16,OUT017,1481.8506141732287
FDL03,OUT035,3076.509492810457
FDE58,OUT046,1800.19222295082
FDI02,OUT027,3242.0620715328487
NCC55,OUT019,92.67548155339807
FDR03,OUT018,3327.9525829268296
FDB14,OUT017,1424.5946902777782
FDR45,OUT013,4155.6477160220975
NCN07,OUT017,1857.3664076190466
FDM51,OUT019,219.21852093023253
FDT52,OUT027,6280.890880000003
FDL26,OUT046,2660.9504030303024
NCZ42,OUT046,4155.6477160220975
DRI47,OUT019,346.8972837209303
FDW40,OUT013,2227.6349584158406
FDN34,OUT046,2894.220710714287
FDS01,OUT035,2851.631695876288
NCG55,OUT045,1800.19222295082
