Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1844.421525857995
FDW14,OUT017,1609.8118952116083
NCN55,OUT010,1875.737008080611
FDQ58,OUT017,2628.1862051308535
FDY38,OUT027,5184.418669401562
FDH56,OUT046,1925.7828360630533
FDL48,OUT018,596.5047046063537
FDC48,OUT027,2782.8173733072304
FDN33,OUT045,1569.6484315882121
FDA36,OUT017,3126.9295001317237
FDT44,OUT017,2032.124723503374
FDQ56,OUT045,1371.1126429375008
NCC54,OUT019,1857.198880097381
FDU11,OUT049,2058.217444560783
DRL59,OUT013,891.107975543805
FDM24,OUT049,2558.2458971262877
FDI57,OUT045,3140.599694083544
DRC12,OUT018,2760.870965815933
NCM42,OUT027,3197.1290389663536
FDA46,OUT010,1134.788843764459
FDA31,OUT013,2807.008228691766
NCJ31,OUT035,3784.555225484455
FDG52,OUT046,801.8197982929728
NCL19,OUT019,363.727727132562
FDS10,OUT035,2925.5935479044947
FDX22,OUT010,1461.499746735625
NCF19,OUT035,828.5017571427895
NCE06,OUT046,2540.3388308277144
DRC27,OUT046,3851.3590852450798
FDE21,OUT035,1932.8782938124266
NCR42,OUT019,-1361.3776665115636
FDX51,OUT018,2869.7645715284393
NCR06,OUT018,428.0155734971117
FDU31,OUT027,4949.395011399328
FDU59,OUT017,2753.850417317741
FDR03,OUT027,4756.176668149623
FDS49,OUT027,2757.5468650252374
FDD48,OUT010,-70.35042573232636
NCF18,OUT017,3154.597104953028
NCD43,OUT027,3101.9621674623386
NCD54,OUT018,1989.753303120937
FDY19,OUT010,-38.66785756647232
NCY54,OUT017,2856.0416060275857
NCL19,OUT018,2018.7070359414422
FDP23,OUT010,1535.6391676000574
FDC26,OUT013,1823.949969679172
FDR14,OUT010,-1031.7221196571022
NCS41,OUT035,2935.6698169796773
FDF41,OUT035,3956.546180294734
FDU34,OUT046,1998.1381266096441
DRH11,OUT046,931.5181903590621
FDM03,OUT013,1737.9021894901596
FDS31,OUT017,3064.3728891041433
FDJ20,OUT017,2134.015944764152
FDV44,OUT027,4494.177406677396
FDG02,OUT049,3110.3388414869187
FDA09,OUT013,2926.544295500537
FDT04,OUT013,675.9707751773101
FDL58,OUT019,2291.8003876799294
FDE52,OUT045,1501.8313910085494
FDW12,OUT035,2414.0042682603953
FDL51,OUT017,3588.0653737522284
NCY42,OUT027,3692.795901345685
